wavelength_nm,transmission_amplitude_real,transmission_amplitude_imag,transmission_phase_rad,transmission_phase_unwrapped_rad
455.0,0.48126932116190413,-1.0720122502231646,-1.1488241372298942,-1.1488241372298942
456.0,0.4097981858636239,-1.1013231467295093,-1.2145738586710257,-1.2145738586710257
457.0,0.3375665626852682,-1.125040606813838,-1.2792951873997123,-1.2792951873997123
458.0,0.2644760726747789,-1.1432907065277298,-1.3434662629623353,-1.3434662629623353
459.0,0.19078788081213954,-1.156069542733677,-1.4072390513488524,-1.4072390513488524
460.0,0.1168742956954614,-1.1633613484189949,-1.470669684111314,-1.470669684111314
461.0,0.043162004987389375,-1.1651714338812404,-1.5337697765456735,-1.5337697765456735
462.0,-0.029889736597643754,-1.1615421816835392,-1.5965234525550278,-1.5965234525550278
463.0,-0.10180178974289267,-1.1525638420763424,-1.658894079968159,-1.658894079968159
464.0,-0.17208577255538618,-1.138383080959161,-1.7208272419869672,-1.7208272419869672
465.0,-0.24025526515495935,-1.1192098709992093,-1.7822523327611544,-1.7822523327611544
466.0,-0.3058386443455547,-1.095322402377891,-1.8430838960791363,-1.8430838960791363
467.0,-0.3683938211780503,-1.0670692492845824,-1.9032233573754305,-1.9032233573754305
468.0,-0.42752453888511316,-1.0348678484619487,-1.9625615788329598,-1.9625615788329598
469.0,-0.4828973163440914,-0.9991984029863823,-2.0209825116642355,-2.0209825116642355
470.0,-0.5342576107850017,-0.9605926338727844,-2.0783680578634876,-2.0783680578634876
471.0,-0.5814434123241488,-0.9196173573439322,-2.1346040615027353,-2.1346040615027353
472.0,-0.6243943847813034,-0.8768536034292613,-2.1895871312235635,-2.1895871312235635
473.0,-0.6631549202027153,-0.8328727813511688,-2.2432317776903212,-2.2432317776903212
474.0,-0.6978700958651575,-0.7882120592782637,-2.2954771753320986,-2.2954771753320986
475.0,-0.7287744300509569,-0.743351478333837,-2.34629277472119,-2.34629277472119
476.0,-0.7561743502077066,-0.6986952394738434,-2.3956820380472177,-2.3956820380472177
477.0,-0.7804261882544483,-0.6545590715754791,-2.44368375689601,-2.44368375689601
478.0,-0.8019120968940839,-0.6111647171057896,-2.4903707148397767,-2.4903707148397767
479.0,-0.821016418618516,-0.5686415568767151,-2.5358458194874767,-2.5358458194874767
480.0,-0.8381047375242685,-0.5270344631046758,-2.5802361729577576,-2.5802361729577576
481.0,-0.8535072152998852,-0.4863163020866772,-2.6236858032252877,-2.6236858032252877
482.0,-0.8675070318333051,-0.44640319536985157,-2.6663478938887963,-2.6663478938887963
483.0,-0.8803339953900413,-0.4071706825217479,-2.708377316817506,-2.708377316817506
484.0,-0.8921627891242648,-0.3684692253004684,-2.7499241175009375,-2.7499241175009375
485.0,-0.9031149439757636,-0.33013793372832356,-2.7911283769489224,-2.7911283769489224
486.0,-0.913263473270858,-0.2920158656500298,-2.8321166325125846,-2.8321166325125846
487.0,-0.9226391287697748,-0.253950669023148,-2.872999828935346,-2.872999828935346
488.0,-0.9312373799429864,-0.215804654842377,-2.9138726176355347,-2.9138726176355347
489.0,-0.9390254176430608,-0.17745859641199802,-2.954813734529067,-2.954813734529067
490.0,-0.9459486927906907,-0.13881365883447083,-2.9958871576243418,-2.9958871576243418
491.0,-0.9519366897681616,-0.09979189383380455,-3.037143759985693,-3.037143759985693
492.0,-0.9569077878814785,-0.06033571461521923,-3.07862321435578,-3.07862321435578
493.0,-0.9607731788704507,-0.02040671560224994,-3.120355957803658,-3.120355957803658
494.0,-0.9634398873538631,0.020015860642946366,3.1208202297804575,-3.162365077399128
495.0,-0.9648129908974044,0.06093677118837454,3.0785172825529794,-3.204668024626606
496.0,-0.9647971643964705,0.10234635668563698,3.035907203030096,-3.247278104149489
